Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","Antenna","0479480001",123.672800,-104.622800,180.000000,top
"C1","2.2uF","C_0402_1005Metric",126.746200,-100.025400,0.000000,top
"C2","2.2uF","C_0402_1005Metric",131.750000,-100.203200,0.000000,top
"C3","18pF","C_0402_1005Metric",113.538200,-107.061200,90.000000,top
"C4","18pF","C_0402_1005Metric",120.243800,-105.562600,90.000000,top
"C5","10u","C_0603_1608Metric",101.016000,-106.400800,-90.000000,top
"C6","22pF","C_0402_1005Metric",106.299200,-106.019800,90.000000,top
"C7","2.2uF","C_0402_1005Metric",113.081000,-104.089400,-90.000000,top
"C9","100n","C_0402_1005Metric",114.071600,-104.114800,-90.000000,top
"C10","1pF","C_0402_1005Metric",125.146000,-101.752600,-90.000000,top
"C11","1pF","C_0402_1005Metric",124.155400,-101.752600,-90.000000,top
"C12","100n","C_0402_1005Metric",117.780000,-93.167400,90.000000,top
"C13","100n","C_0402_1005Metric",114.554200,-107.061200,-90.000000,top
"C14","10u","C_0603_1608Metric",122.834600,-101.219200,-90.000000,top
"C15","100n","C_0402_1005Metric",122.860000,-96.571000,90.000000,top
"C16","3.3nF","C_0201_0603Metric",120.955000,-104.267200,0.000000,top
"C17","10nF","C_0402_1005Metric",121.183600,-105.562600,90.000000,top
"C18","0.1uF","C_0402_1005Metric",112.192000,-104.089400,-90.000000,top
"C19","10u","C_0603_1608Metric",115.290800,-104.445000,-90.000000,top
"C20","4.7uF","C_0402_1005Metric",108.305800,-106.045200,90.000000,top
"D3","BLU","LED_0603_1608Metric_Compact",115.443200,-93.269000,90.000000,top
"J1","USB_C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",102.400000,-99.500000,-90.000000,top
"L1","2.2uH","L_0805_2012Metric",106.553200,-107.899400,0.000000,top
"L2","2.7nH","L_0402_1005Metric",124.663400,-100.025400,180.000000,top
"P7","7","Pin_Header_Straight_Round_1x01_Castellated",129.300000,-107.721500,0.000000,top
"P8","8","Pin_Header_Straight_Round_1x01_Castellated",131.800000,-107.721500,0.000000,top
"P9","9","Pin_Header_Straight_Round_1x01_Castellated",134.300000,-107.721500,0.000000,top
"P10","10","Pin_Header_Straight_Round_1x01_Castellated",121.800000,-107.700000,0.000000,top
"P11","11","Pin_Header_Straight_Round_1x01_Castellated",124.300000,-107.700000,0.000000,top
"P12","12","Pin_Header_Straight_Round_1x01_Castellated",126.800000,-107.700000,0.000000,top
"P13","13","Pin_Header_Straight_Round_1x01_Castellated",131.700000,-92.400000,180.000000,top
"P14","14","Pin_Header_Straight_Round_1x01_Castellated",134.300000,-92.400000,180.000000,top
"P15","15","Pin_Header_Straight_Round_1x01_Castellated",121.600000,-92.400000,180.000000,top
"P16","16","Pin_Header_Straight_Round_1x01_Castellated",126.670000,-92.380000,180.000000,top
"P17","17","Pin_Header_Straight_Round_1x01_Castellated",124.130000,-92.380000,180.000000,top
"P18","18","Pin_Header_Straight_Round_1x01_Castellated",129.200000,-92.380000,180.000000,top
"P25","GND","Pin_Header_Straight_Round_1x01_Castellated",134.290000,-100.000000,90.000000,top
"P28","3V3","Pin_Header_Straight_Round_1x01_Castellated",134.290000,-102.540000,90.000000,top
"P30","CDONE","Pin_Header_Straight_Round_1x01_Castellated",134.290000,-94.920000,90.000000,top
"P31","CRESET","Pin_Header_Straight_Round_1x01_Castellated",134.290000,-97.460000,90.000000,top
"Q1","SS8050-G","SOT95P240X115-3N",109.057600,-93.286600,90.000000,top
"Q2","SS8050-G","SOT95P240X115-3N",112.674600,-93.294400,90.000000,top
"R1","10k","R_0402_1005Metric",115.570200,-107.061200,90.000000,top
"R7","453k","R_0402_1005Metric",107.289800,-106.045200,90.000000,top
"R8","100k","R_0402_1005Metric",105.283200,-106.045200,-90.000000,top
"R10","10k","R_0402_1005Metric",112.522200,-107.061200,-90.000000,top
"R13","2k2","R_0402_1005Metric",116.738600,-93.167400,-90.000000,top
"R15","20K","R_0402_1005Metric",120.777200,-103.429000,180.000000,top
"R16","22.1K","R_0402_1005Metric",108.305800,-104.114800,90.000000,top
"R17","47.5K","R_0402_1005Metric",109.296400,-104.114800,90.000000,top
"R18","2K","R_0402_1005Metric",110.287000,-104.114800,-90.000000,top
"R20","10K","R_0402_1005Metric",108.610600,-95.758200,0.000000,top
"R21","10K","R_0402_1005Metric",112.242800,-95.783600,0.000000,top
"R22","10K","R_0402_1005Metric",111.252200,-104.114800,90.000000,top
"RN1","10k","R_Array_Convex_4x0402",129.337000,-100.406400,90.000000,top
"SW1","TACT","EVPBB2A9B000",110.515600,-107.874000,180.000000,top
"SW2","TACT","EVPBB2A9B000",118.134800,-107.848600,0.000000,top
"U2","LY68L6400SLIT","SOIC-8_3.9x4.9mm_P1.27mm",129.300000,-103.765000,180.000000,top
"U3","ESP32-D0WDQ6","QFN40P600X600X90-49N-D",118.399549,-99.299999,180.000000,top
"U4","W25Q128JV","SOIC-8_5.23x5.23mm_P1.27mm",128.371800,-96.520200,180.000000,top
"U5","TPS62290","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias",103.325900,-106.426200,180.000000,top
"U7","CP2102N-Axx-xQFN28","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",111.000000,-100.000000,0.000000,top
"Y1","40MHz","Crystal_SMD_Abracon_ABM10-4Pin_2.5x2.0mm",117.900000,-105.435600,-90.000000,top
